[DIPPR Text]
1238CASN  	6982-25-8
1239CASN  	6117-80-2
1240CASN  	821-11-4
1241CASN  	110-63-4
1242CASN  	111-29-5
1243CASN  	629-11-8
1244CASN  	120-80-9
1245CASN  	108-46-3
1246CASN  	115-77-5
1247CASN  	77-99-6
1248CASN  	87-66-1
1249CASN  	87-89-8
1250CASN  	50-70-4
1251CASN  	64-18-6
1252CASN  	64-19-7
1253CASN  	79-09-4
1254CASN  	334-48-5
1255CASN  	144-62-7
1256CASN  	107-92-6
1257CASN  	116-53-0
1258CASN  	109-52-4
1259CASN  	112-05-0
1260CASN  	79-31-2
1261CASN  	503-74-2
1262CASN  	142-62-1
1263CASN  	4536-23-6
1264CASN  	619-82-9
1265CASN  	124-07-2
1266CASN  	112-37-8
1267CASN  	1123-00-8
1268CASN  	19201-34-4
1269CASN  	143-07-7
1270CASN  	638-53-9
1271CASN  	544-63-8
1272CASN  	57-10-3
1273CASN  	503-64-0
1274CASN  	107-93-7
1275CASN  	3004-93-1
1276CASN  	57-11-4
1277CASN  	79-10-7
1278CASN  	79-41-4
1279CASN  	112-80-1
1280CASN  	60-33-3
1281CASN  	65-85-0
1282CASN  	118-90-1
1283CASN  	99-94-5
1284CASN  	69-72-7
1285CASN  	124-04-9
1286CASN  	110-16-7
1287CASN  	88-99-3
1288CASN  	121-91-5
1289CASN  	100-21-0
1290CASN  	79-21-0
1291CASN  	108-24-7
1292CASN  	123-62-6
1293CASN  	106-31-0
1294CASN  	1945-53-5
1295CASN  	108-30-5
1296CASN  	108-55-4
1297CASN  	85-44-9
1298CASN  	108-31-6
1299CASN  	552-30-7
1301CASN  	107-31-3
1302CASN  	109-94-4
1303CASN  	110-74-7
1304CASN  	592-84-7
1305CASN  	542-55-2
1306CASN  	638-49-3
1308CASN  	112-32-3
1309CASN  	5451-92-3
1310CASN  	5451-52-5
1311CASN  	692-45-5
1312CASN  	79-20-9
1313CASN  	141-78-6
1314CASN  	109-60-4
1315CASN  	123-86-4
1316CASN  	110-19-0
1317CASN  	123-92-2
1318CASN  	591-87-7
1319CASN  	108-21-4
1320CASN  	105-46-4
1321CASN  	108-05-4
1322CASN  	554-12-1
1323CASN  	105-37-3
1324CASN  	106-36-5
1326CASN  	590-01-2
1327CASN  	105-66-8
1331CASN  	105-38-4
1332CASN  	623-42-7
1333CASN  	105-54-4
1336CASN  	644-49-5
1341CASN  	96-33-3
1342CASN  	140-88-5
1343CASN  	925-60-0
1344CASN  	141-32-2
1345CASN  	50623-57-9
1346CASN  	591-68-4
1347CASN  	108-64-5
1351CASN  	80-62-6
1352CASN  	97-63-2
1353CASN  	2210-28-8
1354CASN  	117-81-7
1355CASN  	27554-26-3
1356CASN  	19295-81-9
1357CASN  	628-63-7
1358CASN  	103-09-3
1359CASN  	140-11-4
1360CASN  	97-85-8
1361CASN  	659-70-1
1362CASN  	112-62-9
1363CASN  	142-92-7
1364CASN  	120-51-4
1365CASN  	136-60-7
1366CASN  	96-49-1
1367CASN  	112-06-1
1368CASN  	112-14-1
1369CASN  	143-13-5
1370CASN  	112-17-4
1371CASN  	26761-40-0
1372CASN  	3648-21-3
1373CASN  	119-36-8
1374CASN  	84-76-4
1375CASN  	131-16-8
1376CASN  	84-69-5
1377CASN  	1459-93-4
1378CASN  	84-77-5
1379CASN  	3648-20-2
1380CASN  	84-75-3
1381CASN  	120-61-6
1382CASN  	4654-26-6
1383CASN  	123-95-5
1384CASN  	109-43-3
1385CASN  	109-21-7
1386CASN  	103-11-7
1387CASN  	111-55-7
1388CASN  	97-86-9
1389CASN  	97-88-1
1390CASN  	93-58-3
1391CASN  	93-89-0
1392CASN  	105-58-8
1393CASN  	95-92-1
1394CASN  	105-53-3
1395CASN  	110-42-9
1396CASN  	110-27-0
1397CASN  	94-60-0
1398CASN  	1528-48-9
1399CASN  	65185-88-8
1401CASN  	115-10-6
1402CASN  	60-29-7
1403CASN  	108-20-3
1404CASN  	142-96-1
1405CASN  	1634-04-4
1406CASN  	6863-58-7
1407CASN  	540-67-0
1408CASN  	557-17-5
1409CASN  	1860-27-1
1410CASN  	625-44-5
1411CASN  	598-53-8
1412CASN  	112-58-3
1413CASN  	628-28-4
1414CASN  	109-93-3
1415CASN  	628-32-0
1418CASN  	2456-27-1
1419CASN  	496-14-0
1420CASN  	104-46-1
1421CASN  	123-91-1
1422CASN  	110-88-3
1423CASN  	6163-66-2
1424CASN  	629-82-3
1425CASN  	693-65-2
1426CASN  	6795-87-5
1427CASN  	994-05-8
1428CASN  	637-92-3
1429CASN  	628-80-8
1430CASN  	919-94-8
1431CASN  	109-87-5
1432CASN  	105-57-7
1433CASN  	78448-33-6
1435CASN  	122-60-1
1440CASN  	558-30-5
1441CASN  	75-21-8
1442CASN  	75-56-9
1443CASN  	503-30-0
1445CASN  	109-92-2
1446CASN  	111-43-3
1447CASN  	111-34-2
1448CASN  	628-81-9
1454CASN  	112-49-2
1455CASN  	110-71-4
1456CASN  	111-96-6
