[Short descriptors]
# LibIndex <Tab> CAS <Tab> Short name <Tab> Full name
# short name entries as * and content after # is ignored
# 110	822-50-4	*	Trans-1,2-dimethylcyclopentane
# 111	2532-58-3	*	Cis-1,3-dimethylcyclopentane
# 112	1759-58-6	*	Trans-1,3-dimethylcyclopentane
# 115	3875-51-2	*	Isopropylcyclopentane
# 116	16747-50-5	*	1-methyl-1-ethylcyclopentane
# 122	2040-95-1	*	N-butylcyclopentane
# 141	590-66-9	*	1,1-dimethylcyclohexane
# 142	2207-01-4	*	Cis-1,2-dimethylcyclohexane
# 143	6876-23-9	*	Trans-1,2-dimethylcyclohexane
# 144	638-04-0	*	Cis-1,3-dimethylcyclohexane
# 145	2207-03-6	*	Trans-1,3-dimethylcyclohexane
# 146	624-29-3	*	Cis-1,4-dimethylcyclohexane
# 147	2207-04-7	*	Trans-1,4-dimethylcyclohexane
# 62	3178-22-1	*	Tert-butylcyclohexane
# 511	611-14-3	*	O-ethyltoluene
# 512	620-14-4	*	M-ethyltoluene
# 513	622-96-8	*	P-ethyltoluene
# 514	526-73-8	*	1,2,3-trimethylbenzene
# 515	95-63-6	*	1,2,4-trimethylbenzene
# 516	108-67-8	*	Mesitylene
# 519	538-93-2	*	Isobutylbenzene
# 520	135-98-8	*	Sec-butylbenzene
# 521	98-06-6	*	Tert-butylbenzene
# 522	527-84-4	*	O-cymene
# 523	535-77-3	*	M-cymene
# 524	99-87-6	*	P-cymene
# 525	135-01-3	*	O-diethylbenzene
# 526	141-93-5	*	M-diethylbenzene
# 527	105-05-5	*	P-diethylbenzene
# 530	488-23-3	*	1,2,3,4-tetramethylbenzene
# 531	527-53-7	*	1,2,3,5-tetramethylbenzene
# 532	95-93-2	*	1,2,4,5-tetramethylbenzene
# 576	2870-04-4	*	2-ethyl-m-xylene
# 577	1758-88-9	*	2-ethyl-p-xylene
# 578	874-41-9	*	4-ethyl-m-xylene
# 579	934-80-5	*	4-ethyl-o-xylene
# 586	1074-43-7	*	1-methyl-3-n-propylbenzene
# 587	1074-55-1	*	1-methyl-4-n-propylbenzene
544	100-18-5	pDIPB	P-diisopropylbenzene
# 1054	108-10-1	*	Methyl isobutyl ketone
# 1057	106-35-4	*	3-heptanone
# 1058	123-19-3	*	4-heptanone
# 1059	589-38-8	*	3-hexanone
# 1060	107-87-9	*	2-pentanone
# 1062	591-78-6	*	2-hexanone
# 1063	110-43-0	*	2-heptanone
# 1064	110-12-3	*	5-methyl-2-hexanone
# 1066	75-97-8	*	3,3-dimethyl-2-butanone
# 1068	108-83-8	*	Diisobutyl ketone
# 1069	565-80-0	*	Diisopropyl ketone
# 1003	123-38-6	*	Propanal
# 1005	123-72-8	*	Butanal
# 1007	110-62-3	*	Pentanal
# 1009	66-25-1	*	Hexanal
# 1008	111-71-7	*	Heptanal
1403	108-20-3	DIPE	Diisopropyl ether
1404	142-96-1	DBE	Di-n-butyl ether
1406	6863-58-7	DSBE	Di-sec-butyl ether
1407	540-67-0	MEE	Methyl ethyl ether
1408	557-17-5	MPE	Methyl n-propyl ether
1409	1860-27-1	IPBE	Isopropyl butyl ether
1410	625-44-5	MIBE	Methyl isobutyl ether
1411	598-53-8	MIPE	Methyl isopropyl ether
1428	637-92-3	ETBE	Tert-butyl ethyl ether
1430	919-94-8	TAME	Ethyl tert-pentyl ether
# 1447	111-34-2	*	Butyl vinyl ether
# 1461	100-66-3	*	Anisole
# 1319	108-21-4	*	Isopropyl acetate
# 1315	123-86-4	*	N-butyl acetate
# 1316	110-19-0	*	Isobutyl acetate
# 1357	628-63-7	*	N-pentyl acetate
# 1321	108-05-4	*	Vinyl acetate
# 1363	142-92-7	*	N-hexyl acetate
# 1109	71-41-0	*	1-pentanol
# 1110	6032-29-7	*	2-pentanol
# 1112	137-32-6	*	2-methyl-1-butanol
# 1113	75-84-3	*	2,2-dimethyl-1-propanol
# 1114	111-27-3	*	1-hexanol
# 1125	111-70-6	*	1-heptanol
# 1241	110-63-4	*	1,4-butanediol
# 1801	74-93-1	*	Methyl mercaptan
# 1803	107-03-9	*	N-propyl mercaptan
# 1804	75-66-1	*	Tert-butyl mercaptan
# 1805	513-44-0	*	Isobutyl mercaptan
# 1806	513-53-1	*	Sec-butyl mercaptan
# 1807	111-31-9	*	N-hexyl mercaptan
# 1813	624-89-5	*	Methyl ethyl sulfide
# 1814	3877-15-4	*	Methyl n-propyl sulfide
# 1815	6163-64-0	*	Methyl t-butyl sulfide
# 1816	13286-92-5	*	Methyl t-pentyl sulfide
# 1817	111-47-7	*	Di-n-propyl sulfide
# 1818	352-93-2	*	Diethyl sulfide
# 1824	110-81-6	*	Diethyl disulfide
# 1828	624-92-0	*	Dimethyl disulfide
# 1829	629-19-6	*	Di-n-propyl disulfide
# 3801	110-06-5	*	Di-tert-butyl disulfide
# 3813	20333-39-5	*	Ethyl methyl disulfide
# 3814	30453-31-7	*	Ethyl propyl disulfide
# 3819	882-33-7	*	Diphenyl disulfide
1723	141-43-5	MEA	Monoethanolamine
1724	111-42-2	DEA	Diethanolamine
1725	102-71-6	TEA	Triethanolamine
1741	107-15-3	EDA	Ethylenediamine
# 1743	108-18-9	*	Diisopropylamine
1750	140-31-8	AEP	N-aminoethyl piperazine
2717	111-40-0	DETA	Diethylenetriamine
2732	111-41-1	AEEA	N-aminoethyl ethanolamine
# 2750	106-50-3	*	P-phenylenediamine
2752	110-85-0	PZ	Piperazine
6862	109-83-1	MMEA	Methylethanolamine
6863	108-01-0	DMEA	Dimethylethanolamine
# 1760	75-52-5	*	Nitromethane
# 1761	79-24-3	*	Nitroethane
# 1762	108-03-2	*	1-nitropropane
# 1763	79-46-9	*	2-nitropropane
# 1769	627-05-4	*	1-nitrobutane
1778	88-72-2	oNT	O-nitrotoluene
1779	99-99-0	pNT	P-nitrotoluene
1780	99-08-1	mNT	M-nitrotoluene
2743	121-14-2	24DNT	2,4-dinitrotoluene
2744	606-20-2	26DNT	2,6-dinitrotoluene
2745	610-39-9	34DNT	3,4-dinitrotoluene
2748	619-15-8	25DNT	2,5-dinitrotoluene
